Id,X,Y,Signal
810,255,-281,74
811,255,-248,70
812,255,-247,70
813,255,-246,70
814,255,-225,50
815,255,-224,243
816,255,-187,100
817,255,-124,116
818,255,-121,116
819,255,-120,116
820,255,-116,116
821,255,-113,116
822,255,-79,206
823,255,-27,116
824,255,30,100
825,255,73,116
826,255,94,50
827,255,138,206
828,255,152,116
829,255,154,116
830,256,-286,74
831,256,-282,74
832,256,-151,74
833,256,-145,74
834,256,-67,206
835,256,-64,206
836,256,31,100
837,256,72,116
838,256,75,116
839,256,85,100
840,256,153,116
841,256,170,116
842,257,-284,179
843,257,-218,74
844,257,-216,74
845,257,-203,243
846,257,-174,166
847,257,-150,74
848,257,-146,74
849,257,-81,206
850,257,-57,70
851,257,-17,116
852,257,44,100
853,257,86,100
854,257,96,50
855,257,97,243
856,257,120,100
857,257,137,206
858,257,138,206
859,257,140,206
860,257,151,74
861,257,155,74
862,257,203,166
863,258,-285,179
864,258,-283,179
865,258,-266,90
866,258,-265,50
867,258,-261,50
868,258,-260,90
869,258,-240,74
870,258,-234,74
871,258,-176,166
872,258,-172,166
873,258,-148,179
874,258,-30,20
875,258,-29,20
876,258,87,100
877,258,96,243
878,258,97,243
879,258,108,70
880,258,109,70
881,258,150,74
882,258,156,74
883,258,162,70
884,258,163,70
885,258,203,166
886,259,-266,90
887,259,-265,90
888,259,-261,90
889,259,-260,90
890,259,-257,70
891,259,-239,74
892,259,-235,74
893,259,-225,50
894,259,-224,243
895,259,-218,74
896,259,-216,74
897,259,-149,179
898,259,-148,179
899,259,-147,179
900,259,-83,206
901,259,17,83
902,259,42,100
903,259,88,100
904,259,98,50
905,259,108,70
906,259,138,206
907,259,170,116
908,260,-282,74
909,260,-267,50
910,260,-257,70
911,260,-256,70
912,260,-255,70
913,260,-237,179
914,260,-225,243
915,260,-148,179
916,260,-92,100
917,260,-17,116
918,260,41,100
919,260,72,90
920,260,73,90
921,260,77,90
922,260,78,90
923,260,89,100
924,260,106,70
925,260,107,70
926,260,108,70
927,260,138,206
928,260,170,116
929,261,-281,74
930,261,-274,166
931,261,-255,70
932,261,-238,179
933,261,-237,179
934,261,-236,179
935,261,-186,83
936,261,-185,83
937,261,-184,83
938,261,-176,166
939,261,-173,166
940,261,-150,74
941,261,-146,74
942,261,-140,111
943,261,-134,111
944,261,-125,74
945,261,-119,74
946,261,-91,100
947,261,-82,206
948,261,-17,116
949,261,-6,70
950,261,-5,70
951,261,-4,70
952,261,-3,70
953,261,0,70
954,261,1,70
955,261,17,83
956,261,40,100
957,261,72,90
958,261,73,50
959,261,77,50
960,261,78,90
961,261,182,83
962,261,183,83
963,261,184,83
964,261,185,83
965,262,-255,70
966,262,-237,179
967,262,-217,116
968,262,-200,70
969,262,-199,70
970,262,-198,70
971,262,-197,70
972,262,-194,70
973,262,-193,70
974,262,-184,83
975,262,-151,74
976,262,-145,74
977,262,-139,74
978,262,-135,74
979,262,-124,74
980,262,-120,74
981,262,-90,100
982,262,-81,206
983,262,-78,206
984,262,185,83
985,263,-239,74
986,263,-235,74
987,263,-184,83
988,263,-173,166
989,263,-172,166
990,263,-171,166
991,263,-170,166
992,263,-137,116
993,263,-122,116
994,263,-104,50
995,263,-96,50
996,263,-89,100
997,263,12,116
998,263,75,50
999,263,115,243
1000,263,185,83
1001,264,-275,166
1002,264,-240,74
1003,264,-234,74
1004,264,-218,116
1005,264,-212,20
1006,264,-211,20
1007,264,-208,20
1008,264,-207,20
1009,264,-206,20
1010,264,-184,83
1011,264,-138,116
1012,264,-136,116
1013,264,-123,116
1014,264,-121,116
1015,264,-103,243
1016,264,-102,243
1017,264,-98,243
1018,264,-97,243
1019,264,-88,100
1020,264,-17,116
1021,264,36,116
1022,264,116,243
1023,264,117,243
1024,265,-137,116
1025,265,-122,116
1026,265,7,74
1027,265,10,116
1028,265,13,116
1029,265,20,70
1030,265,21,70
1031,265,22,70
1032,265,23,70
1033,265,72,90
1034,265,73,50
1035,265,77,50
1036,265,78,90
1037,265,116,243
1038,265,117,243
1039,266,-275,166
1040,266,-274,166
1041,266,-273,166
1042,266,-272,166
1043,266,-139,74
1044,266,-135,74
1045,266,-124,74
1046,266,-120,74
1047,266,-79,74
1048,266,12,116
1049,266,23,70
1050,266,72,90
1051,266,73,90
1052,266,77,90
1053,266,78,90
1054,266,83,83
1055,266,172,74
1056,266,178,74
1057,267,-218,116
1058,267,-162,166
1059,267,-140,111
1060,267,-134,111
1061,267,-125,74
1062,267,-119,74
1063,267,-79,74
1064,267,-17,116
1065,267,23,70
1066,267,71,50
1067,267,79,50
1068,267,83,83
1069,267,93,166
1070,267,173,74
1071,267,177,74
1072,268,-280,116
1073,268,-265,74
1074,268,-218,116
1075,268,-162,166
1076,268,-79,74
1077,268,65,50
1078,268,83,83
1079,268,91,166
1080,268,95,166
1081,268,175,179
1082,269,-280,116
1083,269,-264,74
1084,269,-260,74
1085,269,-162,166
1086,269,-102,74
1087,269,-96,74
1088,269,-82,74
1089,269,-81,74
1090,269,-80,74
1091,269,-78,74
1092,269,-77,74
1093,269,-76,74
1094,269,63,243
1095,269,64,243
1096,269,83,83
1097,269,110,100
1098,269,116,243
1099,269,117,243
1100,269,174,179
1101,269,175,179
1102,269,176,179
1103,270,-262,179
1104,270,-174,243
1105,270,-166,243
1106,270,-162,166
1107,270,-101,74
1108,270,-97,74
1109,270,-90,243
1110,270,-79,74
1111,270,-26,83
1112,270,-9,70
1113,270,34,206
1114,270,63,50
1115,270,64,243
1116,270,117,243
1117,270,145,243
1118,270,150,83
1119,270,151,83
1120,270,152,83
1121,270,175,179
1122,271,-280,116
1123,271,-279,116
1124,271,-263,179
1125,271,-262,179
1126,271,-261,179
1127,271,-186,116
1128,271,-173,243
1129,271,-172,243
1130,271,-168,243
1131,271,-167,243
1132,271,-158,83
1133,271,-157,83
1134,271,-156,83
1135,271,-155,83
1136,271,-99,179
1137,271,-79,74
1138,271,-29,83
1139,271,-28,83
1140,271,-27,83
1141,271,-26,83
1142,271,-9,70
1143,271,5,206
1144,271,10,74
1145,271,69,116
1146,271,72,116
1147,271,91,166
1148,271,94,166
1149,271,152,83
1150,271,173,74
1151,271,177,74
1152,272,-262,179
1153,272,-173,243
1154,272,-172,243
1155,272,-168,243
1156,272,-167,243
1157,272,-158,83
1158,272,-100,179
1159,272,-99,179
1160,272,-98,179
1161,272,-88,243
1162,272,-87,243
1163,272,-79,74
1164,272,-38,90
1165,272,-19,70
1166,272,-18,70
1167,272,-9,70
1168,272,5,206
1169,272,11,74
1170,272,61,50
1171,272,71,116
1172,272,152,83
1173,272,172,74
1174,272,178,74
1175,273,-282,116
1176,273,-264,74
1177,273,-260,74
1178,273,-245,20
1179,273,-209,20
1180,273,-208,20
1181,273,-99,179
1182,273,-88,243
1183,273,-87,243
1184,273,-72,70
1185,273,-37,50
1186,273,-19,70
1187,273,12,74
1188,273,16,243
1189,273,70,116
1190,273,73,116
1191,273,125,83
1192,273,152,83
1193,274,-282,116
1194,274,-265,74
1195,274,-259,74
1196,274,-222,20
1197,274,-170,243
1198,274,-101,74
1199,274,-97,74
1200,274,-86,243
1201,274,-72,70
1202,274,-71,70
1203,274,-70,70
1204,274,-31,116
1205,274,-19,70
1206,274,-9,70
1207,274,17,243
1208,274,18,243
1209,274,63,50
1210,274,125,83
1211,274,144,74
1212,275,-222,20
1213,275,-213,166
1214,275,-143,20
1215,275,-142,20
1216,275,-139,20
1217,275,-138,20
1218,275,-137,20
1219,275,-102,74
1220,275,-96,74
1221,275,-70,70
1222,275,-31,116
1223,275,-9,70
1224,275,12,74
1225,275,27,166
1226,275,28,166
1227,275,29,166
1228,275,30,166
1229,275,63,243
1230,275,110,83
1231,275,122,83
1232,275,123,83
1233,275,124,83
1234,275,125,83
1235,275,144,74
1236,276,-234,70
1237,276,-233,70
1238,276,-232,70
1239,276,-200,70
1240,276,-199,70
1241,276,-198,70
1242,276,-173,243
1243,276,-172,243
1244,276,-168,243
1245,276,-167,243
1246,276,-70,70
1247,276,110,83
1248,276,141,74
1249,276,142,74
1250,276,143,74
1251,276,145,74
1252,277,-234,70
1253,277,-200,70
1254,277,-173,243
1255,277,-172,243
1256,277,-168,243
1257,277,-167,243
1258,277,-122,50
1259,277,-114,50
1260,277,-33,116
1261,277,-31,116
1262,277,-30,116
1263,277,107,83
1264,277,108,83
1265,277,109,83
1266,277,110,83
1267,278,-270,50
1268,278,-235,70
1269,278,-234,70
1270,278,-222,20
1271,278,-201,70
1272,278,-200,70
1273,278,-174,243
1274,278,-166,243
1275,278,-161,70
1276,278,-121,243
1277,278,-120,243
1278,278,-116,243
1279,278,-115,243
1280,278,87,111
1281,278,93,111
1282,279,-272,243
1283,279,-271,243
1284,279,-243,74
1285,279,-222,20
1286,279,-191,70
1287,279,-188,70
1288,279,-187,70
1289,279,-161,70
1290,279,-160,70
1291,279,-159,70
1292,279,-121,243
1293,279,-120,50
1294,279,-116,50
1295,279,-115,243
1296,279,-82,83
1297,279,-80,83
1298,279,-33,116
1299,279,69,70
1300,279,88,74
1301,279,92,74
1302,280,-272,50
1303,280,-271,243
1304,280,-242,74
1305,280,-238,74
1306,280,-222,20
1307,280,-159,70
1308,280,-133,20
1309,280,-132,20
1310,280,-131,20
1311,280,-128,20
1312,280,-127,20
1313,280,-92,83
1314,280,-33,116
1315,280,16,83
1316,280,69,70
1317,280,90,116
1318,280,99,83
1319,281,-260,70
1320,281,-259,70
1321,281,-258,70
1322,281,-257,70
1323,281,-159,70
1324,281,-150,83
1325,281,-118,50
1326,281,-107,116
1327,281,-82,83
1328,281,2,70
1329,281,3,70
1330,281,4,70
1331,281,5,70
1332,281,8,70
1333,281,9,70
1334,281,16,83
1335,281,67,70
1336,281,68,70
1337,281,69,70
1338,281,75,83
1339,281,89,116
1340,281,91,116
1341,281,99,83
1342,282,-274,50
1343,282,-266,90
1344,282,-265,90
1345,282,-257,70
1346,282,-217,74
1347,282,-150,83
1348,282,-95,116
1349,282,16,83
1350,282,17,83
1351,282,18,83
1352,282,19,83
1353,282,75,83
1354,282,90,116
1355,282,285,83
1356,283,-266,90
1357,283,-265,50
1358,283,-257,70
1359,283,-150,83
1360,283,-121,243
1361,283,-120,50
1362,283,-116,50
1363,283,-115,243
1364,283,-87,116
1365,283,28,243
1366,283,72,83
1367,283,73,83
1368,283,74,83
1369,283,75,83
1370,283,88,74
1371,283,92,74
1372,284,-277,243
1373,284,-276,50
1374,284,-272,50
1375,284,-271,243
1376,284,-216,116
1377,284,-121,243
1378,284,-120,243
1379,284,-116,243
1380,284,-115,243
1381,284,87,111
1382,284,93,111
1383,284,133,74
1384,284,134,74
1385,284,135,74
1386,284,137,74
1387,284,138,74
1388,284,139,74
1389,285,-277,243
1390,285,-276,243
1391,285,-272,243
1392,285,-271,243
1393,285,-212,20
1394,285,-211,20
1395,285,-197,20
1396,285,-122,50
1397,285,-114,50
1398,285,-95,116
1399,285,-89,116
1400,285,-86,116
1401,285,-21,74
1402,285,-6,206
1403,285,26,243
1404,285,136,74
1405,286,-278,50
1406,286,-270,50
1407,286,-217,74
1408,286,-197,20
1409,286,-87,116
1410,286,4,20
1411,286,82,116
1412,286,136,74
1413,287,-238,70
1414,287,-237,70
1415,287,-227,70
1416,287,-88,116
1417,287,-85,116
1418,287,-5,206
1419,287,4,20
1420,287,136,74
1421,287,149,100
1422,288,-254,70
1423,288,-253,70
1424,288,-249,243
1425,288,-245,243
1426,288,-244,243
1427,288,-238,70
1428,288,-168,70
1429,288,-165,70
1430,288,-164,70
1431,288,-4,206
1432,288,14,74
1433,288,20,74
1434,288,105,243
1435,288,150,100
1436,289,-254,70
1437,289,-249,243
1438,289,-245,243
1439,289,-244,243
1440,289,-240,70
1441,289,-239,70
1442,289,-238,70
1443,289,-188,20
1444,289,-187,20
1445,289,-77,166
1446,289,-9,50
1447,289,15,74
1448,289,19,74
1449,289,64,20
1450,289,98,243
1451,289,99,243
1452,289,103,243
1453,289,104,243
1454,289,126,116
1455,289,151,100
1456,290,-260,116
1457,290,-257,116
1458,290,-256,116
1459,290,-252,116
1460,290,-249,116
1461,290,-223,50
1462,290,-215,50
1463,290,-142,100
1464,290,-77,166
1465,290,4,20
1466,290,17,116
1467,290,64,20
1468,290,98,243
1469,290,99,243
1470,290,103,243
1471,290,104,243
1472,290,126,116
1473,291,-247,243
1474,291,-222,90
1475,291,-221,90
1476,291,-217,90
1477,291,-216,90
1478,291,-159,20
1479,291,-158,20
1480,291,-155,20
1481,291,-154,20
1482,291,-153,20
1483,291,-141,100
1484,291,-128,50
1485,291,-77,166
1486,291,4,20
1487,291,16,116
1488,291,18,116
1489,292,-274,20
1490,292,-273,20
1491,292,-272,20
1492,292,-269,20
1493,292,-268,20
1494,292,-250,116
1495,292,-222,90
1496,292,-221,50
1497,292,-217,50
1498,292,-216,90
1499,292,-140,100
1500,292,-77,166
1501,292,4,20
1502,292,17,116
1503,292,101,243
1504,292,124,116
1505,292,126,116
1506,292,127,116
1507,292,133,243
1508,292,134,243
1509,293,-279,50
1510,293,-245,243
1511,293,-244,243
1512,293,-200,83
1513,293,-184,83
1514,293,-183,83
1515,293,-182,83
1516,293,-181,83
1517,293,-139,100
1518,293,-13,50
1519,293,15,74
1520,293,19,74
1521,293,81,70
1522,293,82,70
1523,293,83,70
1524,293,84,70
1525,293,93,74
1526,293,133,243
1527,293,134,243
1528,293,285,70
1529,294,-278,243
1530,294,-277,243
1531,294,-245,243
1532,294,-244,243
1533,294,-219,50
1534,294,-200,83
1535,294,-184,83
1536,294,-138,100
1537,294,20,74
1538,294,73,111
1539,294,79,70
1540,294,84,70
1541,294,93,74
1542,294,98,243
1543,294,99,243
1544,294,103,243
1545,294,104,243
1546,294,115,20
1547,294,116,20
1548,294,119,20
1549,294,120,20
1550,294,121,20
1551,294,124,116
1552,294,135,243
1553,295,-278,243
1554,295,-277,50
1555,295,-250,116
1556,295,-200,83
1557,295,-199,83
1558,295,-198,83
1559,295,-197,83
1560,295,-184,83
1561,295,-82,20
1562,295,58,74
1563,295,84,70
1564,295,93,74
